countryName,countryId,memberName,memberLink
Australia,AU,Centre For Accessibility Australia,https://www.accessibility.org.au
Australia,AU,Intopia,http://intopia.digital/
Australia,AU,KurrawongAI,https://kurrawong.ai
Australia,AU,Pyx Industries,https://pyx.io
Australia,AU,Universities Admissions Centre,https://www.uac.edu.au/
Austria,AT,WU (Wirschaftsuniversität Wien) - Vienna University of Economics and Business,https://www.wu.ac.at/
Belgium,BE,Digitaal Vlaanderen,https://www.vlaanderen.be/digitaal-vlaanderen
Belgium,BE,GS1,https://www.gs1.org/
Belgium,BE,IAB Europe,https://iabeurope.eu
Belgium,BE,imec,https://www.imec-int.com/
Belgium,BE,VITO,https://vito.be/en
Brazil,BR,NIC.br - Brazilian Network Information Center,http://www.cgi.br
Bulgaria,BG,Graphwise,https://www.ontotext.com
Bulgaria,BG,QualiBooth,https://qualibooth.com/
Canada,CA,1Password,https://1password.com/
Canada,CA,Accessibility Standards Canada,https://accessible.canada.ca/
Canada,CA,Common Approach to Impact Measurement,https://www.commonapproach.org
Canada,CA,Crawford Technologies,http://www.crawfordtech.com
Canada,CA,eBOUND Canada,https://www.eboundcanada.org/
Canada,CA,GrackleDocs,https://www.grackledocs.com/
Canada,CA,Mavennet Systems Inc.,https://www.mavennet.com
Canada,CA,Natural Resources Canada,https://www.nrcan.gc.ca/
Canada,CA,Shopify,https://www.shopify.com
Canada,CA,Thomson Reuters Corp.,https://www.thomsonreuters.com/
China,CN,360,https://www.360.cn/
China,CN,Alibaba Group,http://www.alibabagroup.com/en/global/home
China,CN,"Ant Group Co., Ltd.",https://www.antgroup.com/
China,CN,"Baidu, Inc.",http://www.baidu.com/
China,CN,Beihang University,http://www.buaa.edu.cn
China,CN,"Beijing Cognitive Emergence Technology Co., Ltd",Http://humanjudgment.org
China,CN,"Beijing Haitai Fangyuan Technologies Co,.Ltd.",http://www.haitaichina.com/
China,CN,ByteDance,https://bytedance.com/
China,CN,China Academy of Information and Communications Technology (CAICT),http://www.caict.ac.cn/english/
China,CN,China Electronics Standardization Institute（中国电子技术标准化研究院）,http://www.cesi.cn/page/index.html
China,CN,China Mobile Communications Corporation,http://www.chinamobileltd.com/en/global/home.php
China,CN,Chinese Academy of Sciences,https://www.cas.cn
China,CN,DappWorks Technology Inc.,https://www.dappworks.cn
China,CN,Finogeeks,https://www.finogeeks.com/
China,CN,Huawei,http://www.huawei.com
China,CN,InclusionX 融合加科技,http://inclusionx.cn
China,CN,"Jiangsu TPBlock Technology Co., Ltd. （江苏第三极区块链科技有限公司）",https://tpblock.cn
China,CN,Loongson(He Fei) Technology Corporation Limited,https://www.loongson.cn
China,CN,Memect Technology Co. Ltd. 北京文因互联科技有限公司,http://www.memect.cn
China,CN,Nanjing University,http://www.nju.edu.cn
China,CN,OP3FT China,https://china.op3ft.org
China,CN,Shenzhen University of Information Technology（深圳信息职业技术大学）,http://www.sziit.edu.cn
China,CN,Tencent,http://www.tencent.com
China,CN,Zhejiang University,http://www.zju.edu.cn
China,CN,ZIIOT,http://www.ziiot.org.cn/
Costa Rica,CR,Instituto Tecnológico de Costa Rica,https://www.tec.ac.cr/
